GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,lat,long,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided,GEOID,STATE,COUNTY,TRACT,BLOCK
1006339.0,762,Pisgah SLF,MD,6645 Mason Springs Road,La Plata,Charles,20646.0,38.5357,-77.1491,Public,"Charles County, MD",1972.0,1994.0,Closed,"1,082,000",,Yes,0.278,0.278,832-0,Low Potential,,,,Unknown,Unknown,,,,,,,240178503002004,24,017,850300,2004
1001568.0,763,Quarantine Road SLF,MD,6100 Quarantine Road,Curtis Bay,Baltimore city,21226.0,39.2085,-76.5549,Public,"City of Baltimore, MD",1985.0,2026.0,Open,"10,632,202",2009.0,Yes,0.451,,833-0,Operational,Project #1,4/22/09,,Electricity,Cogeneration,,1.5,4.0,0.864,0.0759,0.0073,245102505001019,24,510,250500,1019
1005873.0,764,Reich's Ford Road SLF,MD,9031 Reichs Ford Road,Frederick,Frederick,21704.0,39.3754,-77.3528,Public,"Frederick County, MD",1969.0,2045.0,Open,"4,493,586",2018.0,Yes,0.595,0.595,834-0,Shutdown,Project #1,5/31/10,6/1/18,Electricity,Reciprocating Engine,,2.12,,1.23,,,240217519042017,24,021,751904,2017
,765,Resh Road II SLF,MD,Resh Road,Hagerstown,Washington,21740.0,39.68,-77.802,Public,"Washington County, MD",1982.0,2000.0,Closed,"2,055,978",2000.0,Yes,0.89,,835-0,Low Potential,,,,Unknown,Unknown,,,,,,,240430117003004,24,043,011700,3004
,766,Round Glade SLF,MD,,Oakland,Garrett,21550.0,39.470556,-79.393057,Public,,1974.0,1994.0,Closed,"800,000",,No,,,836-0,Low Potential,,,,Unknown,Unknown,,,,,,,240230006011000,24,023,000601,1000
,767,Saint Andrews SLF,MD,44825 St. Andrews Church Road,California,St. Mary's,20619.0,38.2909,-76.5233,Public,"St. Mary's County, MD",1971.0,2001.0,Closed,"842,556",2001.0,No,,,837-0,Low Potential,,,,Unknown,Unknown,,,,,,,240378760041005,24,037,876004,1005
1007573.0,768,Sandy Hill SLF,MD,9500 Old Laurel Bowie Road,Bowie,Prince George's,20720.0,39.016,-76.791,Public,"Prince George's County, MD",1978.0,2000.0,Closed,"8,201,604",2000.0,Yes,2.201,,838-0,Shutdown,Project #1,1/15/03,12/31/10,Direct,Boiler,,,,2.13,0.0,0.0,240338004111008,24,033,800411,1008
1007573.0,768,Sandy Hill SLF,MD,9500 Old Laurel Bowie Road,Bowie,Prince George's,20720.0,39.016,-76.791,Public,"Prince George's County, MD",1978.0,2000.0,Closed,"8,201,604",2000.0,Yes,2.201,,838-1,Operational,"Project #1, De-Expansion #1",1/1/11,,Direct,Boiler,,,,1.73,0.1696,0.015,240338004111008,24,033,800411,1008
1004563.0,20860,Solley Road Landfill,MD,7890 Solley Road,Glen Burnie,Anne Arundel,21061.0,39.160313,-76.575042,Private,"Republic Services, Inc.",1963.0,1982.0,Closed,"1,237,712",1982.0,Yes,0.11,0.11,201098-0,Low Potential,,,,Unknown,Unknown,,,,,,,240037301023040,24,003,730102,3040
,770,Sudley Road SLF,MD,5400 Nutwell Sudley Road,Deale,Anne Arundel,20751.0,38.8179,-76.5785,Public,"Anne Arundel County Dept. of Public Works, Bureau of Waste Mmgt. Services, MD",1982.0,1993.0,Closed,"671,000",,No,,,840-0,Low Potential,,,,Unknown,Unknown,,,,,,,240037080044000,24,003,708004,4000
,772,Westover/Ring SLF,MD,8716 James Ring Road,Westover,Somerset,21871.0,38.121044,-75.735464,Public,"Somerset County, MD",1975.0,1998.0,Closed,"447,610",,No,,,842-0,Low Potential,,,,Unknown,Unknown,,,,,,,240399308002029,24,039,930800,2029
